airline,date_of_journey,source,destination,dep_time,arrival_time,total_stops,additional_info,duration_min,price
Indigo,2019-03-18,Kolkata,Banglore,09:35:00,12:20:00,0,No Info,165,4462
Vistara,2019-05-24,Banglore,New Delhi,11:30:00,14:20:00,0,No Info,170,4668
Air India,2019-03-12,Banglore,New Delhi,08:50:00,23:25:00,2,No Info,875,13250
Jet Airways,2019-06-01,Delhi,Cochin,14:35:00,12:35:00,2,In-flight meal not included,1320,10919
Spicejet,2019-04-27,Kolkata,Banglore,22:20:00,00:40:00,0,No check-in baggage included,140,3841
Air India,2019-04-27,Banglore,New Delhi,10:00:00,12:45:00,0,No Info,165,5228
Jet Airways,2019-03-09,Banglore,New Delhi,05:50:00,12:20:00,1,In-flight meal not included,390,10037
Multiple Carriers,2019-05-09,Delhi,Cochin,07:05:00,16:10:00,1,No Info,545,8018
Jet Airways,2019-06-27,Mumbai,Hyderabad,02:55:00,04:20:00,0,In-flight meal not included,85,3210
Spicejet,2019-05-27,Mumbai,Hyderabad,05:45:00,07:15:00,0,No Info,90,2017
Vistara,2019-04-24,Banglore,New Delhi,07:00:00,09:40:00,0,No Info,160,5403
Multiple Carriers,2019-06-06,Delhi,Cochin,19:00:00,01:30:00,1,No Info,390,7530
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,22:35:00,1,No Info,365,14781
Air India,2019-03-01,Delhi,Cochin,09:45:00,08:15:00,1,No Info,1350,22798
Jet Airways,2019-06-15,Banglore,New Delhi,11:10:00,14:05:00,0,No Info,175,8016
Indigo,2019-04-27,Delhi,Cochin,14:20:00,17:35:00,0,No Info,195,5021
Jet Airways,2019-03-21,Banglore,New Delhi,08:55:00,20:20:00,1,In-flight meal not included,685,7832
Jet Airways,2019-03-21,Banglore,New Delhi,21:25:00,11:25:00,1,In-flight meal not included,840,7832
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,09:20:00,1,In-flight meal not included,865,9663
Indigo,2019-04-09,Delhi,Cochin,10:35:00,01:30:00,1,No Info,895,6270
Indigo,2019-06-01,Chennai,Kolkata,11:35:00,14:00:00,0,No Info,145,3858
Vistara,2019-03-06,Mumbai,Hyderabad,10:25:00,22:55:00,1,No Info,750,12395
Indigo,2019-06-15,Delhi,Cochin,18:35:00,01:30:00,1,No Info,415,5883
Multiple Carriers,2019-03-21,Delhi,Cochin,07:05:00,15:30:00,1,No Info,505,14486
Air India,2019-03-09,Delhi,Cochin,05:55:00,07:40:00,2,No Info,1545,14483
Jet Airways,2019-05-09,Kolkata,Banglore,20:00:00,08:15:00,1,In-flight meal not included,735,7757
Multiple Carriers,2019-03-21,Delhi,Cochin,08:25:00,19:15:00,1,No Info,650,8601
Air India,2019-06-09,Delhi,Cochin,05:55:00,19:15:00,2,No Info,2240,10493
Multiple Carriers,2019-05-18,Delhi,Cochin,10:20:00,19:00:00,1,No Info,520,9794
Jet Airways,2019-05-18,Delhi,Cochin,10:00:00,19:00:00,1,In-flight meal not included,540,11399
Jet Airways,2019-03-21,Delhi,Cochin,19:10:00,18:50:00,2,No Info,1420,10929
Jet Airways,2019-03-21,Delhi,Cochin,17:30:00,18:50:00,1,In-flight meal not included,1520,5963
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,18:10:00,1,In-flight meal not included,1345,10031
Vistara,2019-03-06,Chennai,Kolkata,07:05:00,09:20:00,0,No Info,135,7414
Vistara,2019-06-06,Banglore,New Delhi,11:30:00,14:20:00,0,No Info,170,4668
Jet Airways,2019-03-24,Kolkata,Banglore,18:55:00,04:45:00,1,No Info,590,14231
Jet Airways,2019-06-09,Kolkata,Banglore,16:30:00,23:35:00,1,In-flight meal not included,425,10844
Air India,2019-03-03,Banglore,New Delhi,06:10:00,08:55:00,0,No Info,165,8851
Multiple Carriers,2019-03-03,Delhi,Cochin,13:00:00,21:00:00,1,No Info,480,17493
Jet Airways,2019-06-12,Delhi,Cochin,22:50:00,19:00:00,1,No Info,1210,14714
Spicejet,2019-04-12,Kolkata,Banglore,06:55:00,09:30:00,0,No check-in baggage included,155,3841
Air India,2019-05-24,Mumbai,Hyderabad,21:05:00,22:25:00,0,No Info,80,3100
Indigo,2019-05-12,Banglore,New Delhi,04:00:00,06:50:00,0,No Info,170,3943
Air India,2019-03-27,Delhi,Cochin,06:10:00,08:15:00,1,No Info,1565,6681
Jet Airways,2019-06-21,Banglore,New Delhi,06:00:00,08:45:00,0,No Info,165,8016
Multiple Carriers,2019-06-12,Delhi,Cochin,07:10:00,22:30:00,1,No Info,920,6513
Jet Airways,2019-06-27,Delhi,Cochin,19:15:00,19:00:00,1,In-flight meal not included,1425,10262
Air India,2019-06-01,Delhi,Cochin,16:40:00,19:15:00,2,No Info,1595,9863
Spicejet,2019-03-27,Chennai,Kolkata,09:30:00,12:05:00,0,No check-in baggage included,155,3332
Indigo,2019-06-24,Chennai,Kolkata,22:05:00,00:25:00,0,No Info,140,5277
Multiple Carriers,2019-06-15,Delhi,Cochin,10:35:00,19:15:00,1,No Info,520,8614
Air Asia,2019-04-01,Kolkata,Banglore,22:50:00,01:20:00,0,No Info,150,4107
Jet Airways,2019-06-01,Delhi,Cochin,09:40:00,12:35:00,2,In-flight meal not included,1615,10368
Indigo,2019-05-18,Kolkata,Banglore,17:35:00,22:15:00,1,No Info,280,5699
Multiple Carriers,2019-06-01,Delhi,Cochin,17:30:00,01:30:00,1,No Info,480,13377
Jet Airways,2019-03-21,Mumbai,Hyderabad,07:10:00,08:35:00,0,No Info,85,8040
Air India,2019-03-03,Delhi,Cochin,22:00:00,19:15:00,2,No Info,1275,22096
Air Asia,2019-04-24,Banglore,New Delhi,11:10:00,13:55:00,0,No Info,165,3383
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,18:15:00,1,In-flight meal not included,1265,10844
Multiple Carriers,2019-05-27,Delhi,Cochin,18:15:00,01:30:00,1,No Info,435,13377
Vistara,2019-05-15,Kolkata,Banglore,07:10:00,23:25:00,1,No Info,975,9345
Air Asia,2019-06-12,Kolkata,Banglore,15:10:00,23:30:00,2,No Info,500,5192
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,10:05:00,1,In-flight meal not included,910,8529
Air India,2019-03-06,Banglore,New Delhi,08:15:00,22:55:00,2,No Info,880,13942
Jet Airways,2019-03-09,Delhi,Cochin,08:00:00,19:45:00,1,No Info,705,17549
Air India,2019-03-12,Mumbai,Hyderabad,06:00:00,19:25:00,2,No Info,2245,12119
Spicejet,2019-06-18,Kolkata,Banglore,17:10:00,19:40:00,0,No check-in baggage included,150,3841
Spicejet,2019-06-27,Mumbai,Hyderabad,13:15:00,14:45:00,0,No Info,90,2017
Multiple Carriers,2019-06-03,Delhi,Cochin,10:00:00,19:15:00,1,No Info,555,14848
Spicejet,2019-06-09,Chennai,Kolkata,17:45:00,20:05:00,0,No Info,140,3597
Multiple Carriers,2019-05-09,Delhi,Cochin,06:00:00,19:15:00,1,No Info,795,8266
Indigo,2019-03-21,Delhi,Cochin,08:35:00,22:20:00,1,No Info,825,6790
Spicejet,2019-06-03,Delhi,Cochin,17:55:00,22:50:00,1,No Info,295,5409
Indigo,2019-04-09,Delhi,Cochin,06:40:00,21:00:00,1,No Info,860,6093
Goair,2019-05-27,Banglore,New Delhi,20:55:00,23:40:00,0,No Info,165,3419
Jet Airways,2019-06-12,Kolkata,Banglore,21:10:00,10:05:00,1,In-flight meal not included,775,8529
Air India,2019-06-09,Kolkata,Banglore,09:25:00,13:45:00,2,No Info,1700,11542
Air India,2019-06-12,Kolkata,Banglore,12:00:00,07:55:00,2,No Info,1195,9416
Multiple Carriers,2019-06-15,Delhi,Cochin,07:05:00,19:15:00,1,No Info,730,16108
Jet Airways,2019-05-27,Delhi,Cochin,22:50:00,19:00:00,1,No Info,1210,16079
Air India,2019-03-15,Banglore,New Delhi,10:30:00,22:55:00,1,No Info,745,6383
Spicejet,2019-04-18,Kolkata,Banglore,22:20:00,00:40:00,0,No Info,140,4174
Jet Airways,2019-05-06,Kolkata,Banglore,20:25:00,15:05:00,1,No Info,1120,13067
Multiple Carriers,2019-06-12,Delhi,Cochin,09:45:00,22:30:00,1,No Info,765,9646
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,19:50:00,1,In-flight meal not included,345,10844
Air India,2019-06-15,Banglore,New Delhi,06:10:00,08:55:00,0,No Info,165,6961
Jet Airways,2019-05-06,Kolkata,Banglore,06:30:00,10:05:00,1,No Info,1655,13941
Jet Airways,2019-03-09,Banglore,New Delhi,08:55:00,11:25:00,1,In-flight meal not included,1590,11087
Vistara,2019-06-03,Banglore,New Delhi,17:00:00,19:35:00,0,No Info,155,4878
Multiple Carriers,2019-03-21,Delhi,Cochin,07:05:00,19:15:00,1,No Info,730,13378
Multiple Carriers,2019-03-09,Delhi,Cochin,09:45:00,21:20:00,2,No Info,695,10090
Air Asia,2019-06-06,Kolkata,Banglore,06:50:00,10:30:00,1,No Info,220,6857
Jet Airways,2019-05-21,Delhi,Cochin,19:10:00,19:00:00,2,No Info,1430,15129
Multiple Carriers,2019-03-21,Delhi,Cochin,09:00:00,19:15:00,1,No Info,615,13378
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,20:45:00,1,No Info,400,14781
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,09:20:00,1,In-flight meal not included,865,10844
Jet Airways,2019-05-21,Kolkata,Banglore,20:25:00,18:00:00,1,No Info,1295,14151
Jet Airways,2019-05-15,Kolkata,Banglore,21:10:00,10:05:00,1,In-flight meal not included,775,11841
Multiple Carriers,2019-05-27,Delhi,Cochin,11:25:00,19:15:00,1,No Info,470,8625
Jet Airways,2019-03-18,Banglore,New Delhi,05:45:00,15:15:00,1,No Info,570,12284
Indigo,2019-06-06,Delhi,Cochin,08:35:00,22:30:00,1,No Info,835,6442
Jet Airways,2019-03-21,Banglore,New Delhi,05:45:00,21:20:00,1,In-flight meal not included,935,7832
Air India,2019-05-15,Kolkata,Banglore,14:35:00,14:35:00,1,No Info,1440,6528
Air India,2019-06-06,Delhi,Cochin,20:15:00,19:15:00,2,No Info,1380,13591
Air India,2019-06-24,Delhi,Cochin,20:15:00,19:15:00,2,No Info,1380,13381
Air Asia,2019-03-24,Banglore,New Delhi,23:25:00,02:10:00,0,No Info,165,4482
Air India,2019-05-27,Banglore,New Delhi,10:00:00,12:45:00,0,No Info,165,6961
Jet Airways,2019-04-15,Banglore,New Delhi,17:45:00,20:45:00,0,No Info,180,7229
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,08:15:00,1,No Info,1545,13941
Indigo,2019-06-15,Chennai,Kolkata,05:15:00,07:40:00,0,No Info,145,3540
Air India,2019-03-09,Banglore,New Delhi,17:00:00,16:40:00,1,No Info,1420,9292
Spicejet,2019-04-06,Kolkata,Banglore,09:00:00,11:25:00,0,No Info,145,3873
Indigo,2019-05-06,Kolkata,Banglore,21:00:00,02:15:00,1,No Info,315,7252
Jet Airways,2019-04-01,Delhi,Cochin,22:50:00,12:35:00,1,In-flight meal not included,825,5177
Spicejet,2019-06-01,Banglore,New Delhi,21:10:00,00:05:00,0,No check-in baggage included,175,3573
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,09:20:00,1,In-flight meal not included,800,10844
Multiple Carriers,2019-03-03,Delhi,Cochin,09:10:00,18:50:00,1,No Info,580,15135
Indigo,2019-03-21,Delhi,Cochin,04:55:00,21:20:00,2,No Info,985,6223
Jet Airways,2019-06-01,Delhi,Cochin,20:00:00,04:25:00,2,In-flight meal not included,505,15318
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,09:20:00,1,In-flight meal not included,1155,9663
Air India,2019-03-09,Banglore,New Delhi,11:05:00,22:45:00,1,No Info,700,10657
Multiple Carriers,2019-05-15,Delhi,Cochin,11:35:00,01:30:00,3,No Info,835,16294
Jet Airways,2019-05-09,Kolkata,Banglore,06:30:00,19:50:00,1,No Info,800,14781
Vistara,2019-06-12,Delhi,Cochin,14:40:00,17:50:00,0,No Info,190,6216
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,20:45:00,1,In-flight meal not included,740,10844
Indigo,2019-06-15,Mumbai,Hyderabad,09:10:00,10:40:00,0,No Info,90,4049
Multiple Carriers,2019-06-09,Delhi,Cochin,09:00:00,19:00:00,1,No Info,600,12192
Indigo,2019-05-15,Delhi,Cochin,14:25:00,17:40:00,0,No Info,195,6541
Indigo,2019-05-09,Delhi,Cochin,17:05:00,22:25:00,1,No Info,320,6027
Jet Airways,2019-06-21,Banglore,New Delhi,18:55:00,22:00:00,0,In-flight meal not included,185,7754
Vistara,2019-06-06,Kolkata,Banglore,20:20:00,18:50:00,1,No Info,1350,8820
Jet Airways,2019-04-03,Banglore,New Delhi,18:55:00,22:00:00,0,In-flight meal not included,185,4544
Spicejet,2019-06-15,Banglore,New Delhi,05:55:00,08:35:00,0,No Info,160,4423
Jet Airways,2019-05-01,Kolkata,Banglore,20:25:00,21:05:00,1,No Info,1480,12121
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,10:05:00,1,In-flight meal not included,775,11841
Air India,2019-05-18,Kolkata,Banglore,09:25:00,01:20:00,2,No Info,955,11668
Multiple Carriers,2019-05-09,Delhi,Cochin,13:00:00,21:00:00,1,No Info,480,13727
Jet Airways,2019-06-27,Delhi,Cochin,19:45:00,19:00:00,1,In-flight meal not included,1395,10262
Air India,2019-05-01,Mumbai,Hyderabad,19:30:00,20:45:00,0,No Info,75,3100
Jet Airways,2019-03-24,Banglore,New Delhi,19:55:00,22:35:00,0,No Info,160,7229
Air India,2019-03-18,Banglore,New Delhi,06:45:00,16:20:00,2,No Info,575,12935
Indigo,2019-06-24,Delhi,Cochin,11:25:00,01:30:00,1,No Info,845,5684
Jet Airways,2019-05-01,Kolkata,Banglore,21:10:00,04:40:00,1,No Info,450,14781
Jet Airways,2019-06-01,Delhi,Cochin,13:00:00,19:00:00,1,No Info,360,14714
Multiple Carriers,2019-05-09,Delhi,Cochin,07:10:00,16:10:00,1,No Info,540,6513
Air Asia,2019-06-09,Kolkata,Banglore,06:50:00,10:30:00,1,No Info,220,6857
Air Asia,2019-06-01,Delhi,Cochin,16:45:00,22:25:00,1,No Info,340,11410
Jet Airways,2019-06-24,Delhi,Cochin,18:15:00,19:00:00,1,In-flight meal not included,1485,10262
Multiple Carriers,2019-03-09,Delhi,Cochin,07:05:00,21:20:00,2,No Info,855,8620
Indigo,2019-06-15,Delhi,Cochin,14:20:00,22:30:00,1,No Info,490,6412
Air India,2019-04-15,Banglore,New Delhi,06:10:00,08:55:00,0,No Info,165,5228
Indigo,2019-05-18,Kolkata,Banglore,08:10:00,13:00:00,1,No Info,290,5279
Jet Airways,2019-03-18,Banglore,New Delhi,11:40:00,23:00:00,1,No Info,680,13555
Air Asia,2019-05-09,Kolkata,Banglore,06:50:00,10:30:00,1,No Info,220,5162
Vistara,2019-05-06,Banglore,New Delhi,17:00:00,19:35:00,0,No Info,155,4878
Spicejet,2019-03-15,Banglore,New Delhi,10:20:00,18:15:00,1,No Info,475,10341
Air India,2019-03-09,Delhi,Cochin,04:00:00,07:40:00,1,No Info,1660,10315
Multiple Carriers,2019-03-21,Delhi,Cochin,13:00:00,21:00:00,1,No Info,480,7618
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,18:00:00,1,No Info,505,12692
Vistara,2019-03-06,Mumbai,Hyderabad,11:55:00,22:55:00,1,No Info,660,12395
Jet Airways,2019-03-18,Banglore,New Delhi,11:40:00,20:20:00,1,No Info,520,13555
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,08:15:00,1,No Info,800,12681
Multiple Carriers,2019-06-01,Delhi,Cochin,08:45:00,19:15:00,1,No Info,630,10261
Spicejet,2019-05-09,Kolkata,Banglore,15:55:00,21:25:00,1,No Info,330,8224
Air India,2019-03-12,Banglore,New Delhi,06:45:00,23:15:00,1,No Info,990,11602
Multiple Carriers,2019-05-18,Delhi,Cochin,11:40:00,19:15:00,1,No Info,455,9211
Indigo,2019-03-03,Chennai,Kolkata,22:05:00,00:25:00,0,No Info,140,5277
Jet Airways,2019-06-06,Delhi,Cochin,02:15:00,19:00:00,1,No Info,1005,14714
Air India,2019-06-27,Delhi,Cochin,09:45:00,09:25:00,2,No Info,1420,10975
Air India,2019-06-12,Delhi,Cochin,20:30:00,08:15:00,1,No Info,705,8991
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,18:15:00,1,No Info,705,14781
Jet Airways,2019-03-18,Banglore,New Delhi,08:00:00,13:15:00,1,No Info,315,12284
Air India,2019-03-12,Mumbai,Hyderabad,09:15:00,09:15:00,1,No Info,1440,8065
Indigo,2019-03-03,Delhi,Cochin,07:35:00,22:20:00,1,No Info,885,11600
Air India,2019-06-24,Delhi,Cochin,12:00:00,07:40:00,2,No Info,1180,9548
Air India,2019-06-27,Banglore,New Delhi,17:00:00,19:45:00,0,No Info,165,6961
Indigo,2019-06-24,Banglore,New Delhi,04:00:00,06:50:00,0,No Info,170,3943
Spicejet,2019-06-21,Chennai,Kolkata,09:45:00,12:00:00,0,No check-in baggage included,135,3543
Jet Airways,2019-03-27,Delhi,Cochin,06:20:00,19:45:00,2,In-flight meal not included,2245,9296
Multiple Carriers,2019-06-03,Delhi,Cochin,08:00:00,19:15:00,1,No Info,675,15058
Air India,2019-03-06,Mumbai,Hyderabad,16:00:00,23:45:00,1,No Info,465,11678
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,22:35:00,1,In-flight meal not included,510,10844
Indigo,2019-06-01,Delhi,Cochin,20:25:00,01:30:00,1,No Info,305,6593
Air India,2019-04-24,Banglore,New Delhi,10:00:00,12:45:00,0,No Info,165,6121
Vistara,2019-04-09,Banglore,New Delhi,19:30:00,22:15:00,0,No Info,165,5613
Multiple Carriers,2019-03-09,Delhi,Cochin,06:40:00,19:45:00,1,No Info,785,12615
Multiple Carriers,2019-03-27,Delhi,Cochin,10:20:00,21:00:00,1,No Info,640,6637
Jet Airways,2019-05-18,Delhi,Cochin,17:30:00,19:00:00,1,In-flight meal not included,1530,12373
Jet Airways,2019-04-01,Kolkata,Banglore,16:30:00,19:50:00,1,In-flight meal not included,1640,7064
Jet Airways,2019-05-24,Mumbai,Hyderabad,19:35:00,21:05:00,0,No Info,90,5678
Indigo,2019-03-03,Banglore,New Delhi,01:30:00,04:15:00,0,No Info,165,6860
Air India,2019-06-24,Delhi,Cochin,06:50:00,07:40:00,2,No Info,1490,13381
Indigo,2019-04-18,Kolkata,Banglore,21:25:00,00:05:00,0,No Info,160,4174
Vistara,2019-05-21,Banglore,New Delhi,19:30:00,22:15:00,0,No Info,165,4878
Indigo,2019-03-21,Delhi,Cochin,14:30:00,17:35:00,0,No Info,185,5406
Air India,2019-05-24,Kolkata,Banglore,10:00:00,05:25:00,2,No Info,1165,15107
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,10:05:00,1,In-flight meal not included,775,12446
Air India,2019-05-06,Mumbai,Hyderabad,13:55:00,15:25:00,0,No Info,90,3625
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,22:35:00,1,In-flight meal not included,510,10844
Spicejet,2019-05-24,Mumbai,Hyderabad,05:45:00,07:15:00,0,No check-in baggage included,90,1965
Jet Airways,2019-03-06,Delhi,Cochin,09:00:00,18:50:00,1,No Info,590,17024
Spicejet,2019-04-09,Banglore,New Delhi,21:10:00,00:05:00,0,No Info,175,3971
Indigo,2019-03-24,Banglore,New Delhi,08:30:00,11:30:00,0,No Info,180,7303
Vistara,2019-05-21,Kolkata,Banglore,07:10:00,20:20:00,1,No Info,790,9345
Jet Airways,2019-03-21,Delhi,Cochin,10:20:00,18:50:00,2,In-flight meal not included,1950,9254
Indigo,2019-03-09,Mumbai,Hyderabad,06:20:00,07:45:00,0,No Info,85,4392
Jet Airways,2019-06-03,Delhi,Cochin,14:35:00,12:35:00,2,No Info,1320,13376
Indigo,2019-06-09,Mumbai,Hyderabad,12:00:00,13:30:00,0,No Info,90,2754
Air India,2019-05-09,Banglore,New Delhi,17:00:00,19:45:00,0,No Info,165,5228
Air India,2019-05-24,Kolkata,Banglore,05:50:00,13:15:00,2,No Info,445,7662
Jet Airways,2019-04-21,Delhi,Cochin,11:00:00,14:15:00,0,In-flight meal not included,195,7202
Jet Airways,2019-05-01,Banglore,New Delhi,11:10:00,14:05:00,0,In-flight meal not included,175,4030
Vistara,2019-03-24,Kolkata,Banglore,07:10:00,22:55:00,1,No Info,945,12732
Jet Airways,2019-06-06,Kolkata,Banglore,16:30:00,23:35:00,1,No Info,425,14571
Indigo,2019-03-06,Kolkata,Banglore,20:25:00,23:05:00,0,No Info,160,4778
Jet Airways,2019-03-01,Banglore,New Delhi,08:00:00,16:10:00,1,No Info,490,22270
Spicejet,2019-03-21,Chennai,Kolkata,09:30:00,12:05:00,0,No Info,155,3384
Multiple Carriers,2019-05-15,Delhi,Cochin,13:00:00,21:00:00,1,No Info,480,8073
Air India,2019-06-03,Delhi,Cochin,18:05:00,21:10:00,0,No Info,185,6934
Jet Airways,2019-05-18,Delhi,Cochin,11:30:00,12:35:00,1,In-flight meal not included,1505,12373
Jet Airways,2019-05-01,Kolkata,Banglore,16:30:00,08:15:00,1,No Info,945,13941
Air India,2019-06-12,Kolkata,Banglore,20:30:00,13:45:00,2,No Info,1035,12224
Multiple Carriers,2019-06-24,Delhi,Cochin,06:00:00,21:00:00,1,No Info,900,7740
Indigo,2019-03-15,Mumbai,Hyderabad,16:55:00,18:25:00,0,No Info,90,3175
Indigo,2019-03-21,Banglore,New Delhi,04:00:00,06:50:00,0,No Info,170,4777
Spicejet,2019-06-24,Banglore,New Delhi,05:55:00,08:35:00,0,No Info,160,3625
Air India,2019-03-18,Mumbai,Hyderabad,06:20:00,07:40:00,0,No Info,80,3100
Indigo,2019-06-12,Mumbai,Hyderabad,21:20:00,22:50:00,0,No Info,90,2227
Indigo,2019-05-21,Delhi,Cochin,17:10:00,01:30:00,1,No Info,500,6794
Jet Airways,2019-06-15,Banglore,New Delhi,18:55:00,22:00:00,0,No Info,185,8016
Jet Airways,2019-06-01,Delhi,Cochin,14:00:00,04:25:00,1,No Info,865,14714
Jet Airways,2019-05-18,Delhi,Cochin,08:00:00,19:00:00,1,In-flight meal not included,660,12373
Jet Airways,2019-06-12,Delhi,Cochin,06:45:00,04:25:00,2,In-flight meal not included,1300,10919
Indigo,2019-05-27,Chennai,Kolkata,14:45:00,17:05:00,0,No Info,140,3597
Air India,2019-05-18,Kolkata,Banglore,08:20:00,21:50:00,2,No Info,810,10697
Air India,2019-04-09,Delhi,Cochin,05:10:00,08:00:00,0,No Info,170,4729
Jet Airways,2019-03-06,Delhi,Cochin,22:20:00,19:45:00,1,No Info,1285,17024
Multiple Carriers,2019-04-09,Delhi,Cochin,17:45:00,01:30:00,1,No Info,465,8535
Jet Airways,2019-05-09,Kolkata,Banglore,18:55:00,08:15:00,1,In-flight meal not included,800,8586
Indigo,2019-05-15,Banglore,New Delhi,04:00:00,06:50:00,0,No Info,170,3943
Air India,2019-06-27,Delhi,Cochin,08:00:00,19:15:00,1,No Info,675,8372
Air India,2019-03-24,Banglore,New Delhi,06:55:00,13:20:00,1,No Info,385,7932
Spicejet,2019-03-01,Chennai,Kolkata,09:30:00,12:05:00,0,No Info,155,7298
Spicejet,2019-03-21,Delhi,Cochin,08:45:00,13:15:00,1,No Info,270,6460
Air India,2019-05-15,Delhi,Cochin,20:30:00,23:00:00,1,No Info,1590,8907
Vistara,2019-06-12,Banglore,New Delhi,07:00:00,09:40:00,0,No Info,160,4668
Jet Airways,2019-06-24,Banglore,New Delhi,18:55:00,22:00:00,0,In-flight meal not included,185,6478
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,20:20:00,1,In-flight meal not included,1525,11087
Jet Airways,2019-05-18,Kolkata,Banglore,21:10:00,04:40:00,1,No Info,450,13941
Air India,2019-06-21,Kolkata,Banglore,14:15:00,16:45:00,0,No Info,150,5510
Jet Airways,2019-05-27,Delhi,Cochin,02:15:00,12:35:00,1,No Info,620,16376
Jet Airways,2019-04-27,Banglore,New Delhi,19:50:00,22:50:00,0,In-flight meal not included,180,4544
Jet Airways,2019-05-27,Delhi,Cochin,07:05:00,19:00:00,1,No Info,715,16289
Multiple Carriers,2019-06-12,Delhi,Cochin,10:00:00,21:00:00,1,No Info,660,13587
Spicejet,2019-03-18,Kolkata,Banglore,06:55:00,09:35:00,0,No Info,160,4465
Indigo,2019-06-01,Kolkata,Banglore,14:25:00,16:55:00,0,No Info,150,6064
Spicejet,2019-04-03,Mumbai,Hyderabad,05:45:00,07:15:00,0,No Info,90,2017
Air India,2019-03-03,Delhi,Cochin,16:40:00,19:15:00,2,No Info,1595,14221
Goair,2019-04-03,Delhi,Cochin,10:35:00,19:35:00,1,No Info,540,5135
Air India,2019-05-24,Kolkata,Banglore,10:00:00,05:25:00,2,No Info,1165,15422
Air India,2019-03-18,Banglore,New Delhi,08:50:00,16:30:00,2,No Info,1900,10835
Indigo,2019-06-09,Delhi,Cochin,09:15:00,01:30:00,1,No Info,975,6628
Jet Airways,2019-06-15,Delhi,Cochin,21:25:00,19:00:00,2,In-flight meal not included,1295,10588
Multiple Carriers,2019-05-27,Delhi,Cochin,15:00:00,01:30:00,1,In-flight meal not included,630,6943
Air India,2019-04-12,Banglore,New Delhi,06:10:00,08:55:00,0,No Info,165,5911
Air India,2019-06-09,Delhi,Cochin,20:15:00,19:15:00,2,No Info,1380,13381
Jet Airways,2019-06-06,Delhi,Cochin,19:15:00,04:25:00,1,In-flight meal not included,550,10262
Air India,2019-05-01,Kolkata,Banglore,07:00:00,16:15:00,1,No Info,555,10203
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,10:05:00,1,In-flight meal not included,1200,9663
Indigo,2019-04-18,Delhi,Cochin,14:20:00,17:35:00,0,No Info,195,6015
Spicejet,2019-05-01,Kolkata,Banglore,09:00:00,11:25:00,0,No check-in baggage included,145,3841
Indigo,2019-04-27,Delhi,Cochin,02:00:00,07:45:00,1,No Info,345,7173
Jet Airways,2019-03-18,Banglore,New Delhi,08:55:00,15:15:00,1,No Info,380,12284
Multiple Carriers,2019-05-18,Delhi,Cochin,11:30:00,19:15:00,1,No Info,465,14533
Jet Airways,2019-06-09,Kolkata,Banglore,09:35:00,21:05:00,1,No Info,690,14676
Jet Airways,2019-03-06,Delhi,Cochin,05:25:00,04:25:00,2,In-flight meal not included,1380,16389
Spicejet,2019-03-12,Chennai,Kolkata,09:30:00,12:05:00,0,No Info,155,6300
Jet Airways,2019-05-09,Delhi,Cochin,19:30:00,12:35:00,2,In-flight meal not included,1025,13029
Jet Airways,2019-05-01,Kolkata,Banglore,08:25:00,09:20:00,1,In-flight meal not included,1495,9663
Indigo,2019-06-12,Kolkata,Banglore,09:20:00,14:15:00,1,No Info,295,11160
Multiple Carriers,2019-04-09,Delhi,Cochin,08:30:00,19:00:00,1,No Info,630,10877
Air India,2019-06-03,Delhi,Cochin,12:00:00,07:40:00,2,No Info,1180,8603
Indigo,2019-04-21,Delhi,Cochin,06:50:00,12:10:00,1,No Info,320,6968
Indigo,2019-03-09,Delhi,Cochin,02:00:00,07:45:00,1,No Info,345,7060
Jet Airways,2019-03-27,Delhi,Cochin,06:20:00,19:45:00,2,No Info,2245,12273
Indigo,2019-03-03,Chennai,Kolkata,19:35:00,21:55:00,0,No Info,140,7295
Spicejet,2019-06-03,Mumbai,Hyderabad,05:45:00,07:15:00,0,No Info,90,2753
Jet Airways,2019-05-15,Kolkata,Banglore,16:30:00,10:05:00,1,No Info,1055,14781
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,23:00:00,1,In-flight meal not included,1585,11087
