airline,date_of_journey,source,destination,dep_time,arrival_time,total_stops,additional_info,price,duration_min
Goair,2019-06-06,Banglore,New Delhi,20:55:00,23:40:00,0,No Info,3419,165
Jet Airways,2019-06-01,Banglore,New Delhi,07:10:00,10:10:00,0,No Info,8016,180
Jet Airways,2019-04-06,Banglore,New Delhi,17:45:00,20:45:00,0,No Info,7229,180
Goair,2019-06-06,Delhi,Cochin,10:35:00,19:35:00,1,No Info,4959,540
Air India,2019-06-09,Kolkata,Banglore,12:00:00,11:10:00,2,No Info,10151,1390
Air India,2019-05-18,Delhi,Cochin,05:15:00,19:15:00,3,No Info,10703,2280
Jet Airways,2019-06-09,Kolkata,Banglore,08:25:00,18:15:00,1,In-flight meal not included,10844,590
Indigo,2019-03-06,Delhi,Cochin,16:10:00,22:20:00,1,No Info,7205,370
Jet Airways,2019-03-18,Banglore,New Delhi,08:55:00,18:25:00,1,No Info,12284,570
Jet Airways,2019-06-09,Kolkata,Banglore,09:35:00,22:05:00,1,In-flight meal not included,13994,750
Indigo,2019-04-15,Delhi,Cochin,14:25:00,17:40:00,0,No Info,6015,195
Indigo,2019-04-03,Kolkata,Banglore,06:15:00,10:30:00,1,No Info,4226,255
Jet Airways,2019-03-21,Delhi,Cochin,19:10:00,18:50:00,2,No Info,9483,1420
Jet Airways,2019-05-15,Banglore,New Delhi,07:10:00,10:10:00,0,In-flight meal not included,5198,180
Jet Airways,2019-06-27,Delhi,Cochin,05:30:00,19:00:00,2,In-flight meal not included,10368,810
Vistara,2019-06-03,Chennai,Kolkata,17:45:00,20:05:00,0,No Info,11982,140
Air India,2019-03-15,Banglore,New Delhi,11:50:00,13:00:00,1,No Info,8032,1510
Air India,2019-05-15,Kolkata,Banglore,14:15:00,16:45:00,0,No Info,5510,150
Indigo,2019-05-09,Delhi,Cochin,23:30:00,04:35:00,1,No Info,8177,305
Air Asia,2019-06-01,Delhi,Cochin,16:45:00,22:25:00,1,No Info,11410,340
Goair,2019-03-21,Delhi,Cochin,07:00:00,12:50:00,1,No Info,9385,350
Jet Airways,2019-06-06,Delhi,Cochin,10:00:00,19:00:00,1,In-flight meal not included,10262,540
Spicejet,2019-06-18,Kolkata,Banglore,09:00:00,11:25:00,0,No Info,3873,145
Multiple Carriers,2019-03-21,Delhi,Cochin,11:40:00,18:50:00,1,No Info,11999,430
Jet Airways,2019-06-27,Delhi,Cochin,18:20:00,12:35:00,2,No Info,14300,1095
Spicejet,2019-05-12,Mumbai,Hyderabad,13:15:00,14:45:00,0,No check-in baggage included,2175,90
Air India,2019-05-09,Delhi,Cochin,06:50:00,07:40:00,2,No Info,14431,1490
Jet Airways,2019-05-21,Banglore,New Delhi,06:00:00,08:45:00,0,No Info,7229,165
Indigo,2019-05-24,Kolkata,Banglore,19:20:00,23:45:00,1,No Info,3809,265
Multiple Carriers,2019-06-24,Delhi,Cochin,07:30:00,19:15:00,1,No Info,7354,705
Multiple Carriers,2019-03-27,Delhi,Cochin,08:00:00,15:30:00,1,No Info,12537,450
Air India,2019-05-27,Delhi,Cochin,13:00:00,19:15:00,1,No Info,9719,375
Jet Airways,2019-05-24,Mumbai,Hyderabad,10:20:00,11:50:00,0,No Info,8040,90
Jet Airways,2019-05-24,Mumbai,Hyderabad,07:05:00,08:30:00,0,In-flight meal not included,4995,85
Indigo,2019-04-06,Banglore,New Delhi,23:30:00,02:20:00,0,No Info,4591,170
Air India,2019-06-06,Kolkata,Banglore,16:45:00,21:05:00,1,No Info,7662,1700
Indigo,2019-06-24,Chennai,Kolkata,07:55:00,10:15:00,0,No Info,3850,140
Indigo,2019-06-03,Delhi,Cochin,08:35:00,22:30:00,1,No Info,6442,835
Indigo,2019-06-03,Delhi,Cochin,23:30:00,04:35:00,1,No Info,11378,305
Multiple Carriers,2019-06-27,Delhi,Cochin,15:00:00,01:30:00,1,No Info,13377,630
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,20:45:00,1,In-flight meal not included,10844,740
Jet Airways,2019-05-09,Mumbai,Hyderabad,07:05:00,08:30:00,0,In-flight meal not included,4995,85
Air India,2019-03-27,Delhi,Cochin,17:15:00,09:25:00,2,No Info,6057,970
Air India,2019-04-06,Banglore,New Delhi,10:00:00,12:45:00,0,No Info,5176,165
Jet Airways,2019-06-09,Delhi,Cochin,09:40:00,04:25:00,2,No Info,13014,1125
Indigo,2019-03-01,Banglore,New Delhi,16:15:00,20:35:00,1,No Info,7917,260
Spicejet,2019-06-09,Delhi,Cochin,06:05:00,11:20:00,1,No Info,5583,315
Jet Airways,2019-04-09,Banglore,New Delhi,06:00:00,08:45:00,0,No Info,7229,165
Indigo,2019-05-18,Delhi,Cochin,16:00:00,01:30:00,1,No Info,7191,570
Jet Airways,2019-06-12,Mumbai,Hyderabad,19:35:00,21:05:00,0,In-flight meal not included,3210,90
Indigo,2019-03-06,Delhi,Cochin,15:00:00,01:35:00,1,No Info,14871,635
Multiple Carriers,2019-05-15,Delhi,Cochin,08:30:00,19:15:00,1,No Info,8099,645
Air India,2019-05-21,Kolkata,Banglore,09:25:00,18:30:00,1,No Info,8366,545
Indigo,2019-03-09,Chennai,Kolkata,22:05:00,00:25:00,0,No Info,6297,140
Multiple Carriers,2019-03-03,Delhi,Cochin,13:00:00,21:00:00,1,No Info,18286,480
Jet Airways,2019-03-06,Delhi,Cochin,23:05:00,19:45:00,1,No Info,17024,1240
Jet Airways,2019-04-24,Banglore,New Delhi,07:10:00,10:10:00,0,In-flight meal not included,6144,180
Multiple Carriers,2019-03-09,Delhi,Cochin,06:00:00,19:45:00,1,No Info,13941,825
Jet Airways,2019-05-09,Banglore,New Delhi,18:55:00,22:00:00,0,In-flight meal not included,3702,185
Spicejet,2019-05-15,Delhi,Cochin,06:05:00,11:20:00,1,No Info,5583,315
Air India,2019-03-12,Mumbai,Hyderabad,19:40:00,09:10:00,1,No Info,10208,810
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,18:00:00,1,In-flight meal not included,12384,505
Air India,2019-05-06,Kolkata,Banglore,10:00:00,05:25:00,2,No Info,17049,1165
Indigo,2019-05-24,Delhi,Cochin,07:30:00,21:00:00,1,No Info,7006,810
Air India,2019-06-12,Kolkata,Banglore,05:50:00,20:25:00,2,No Info,12723,875
Jet Airways,2019-06-12,Delhi,Cochin,08:00:00,04:25:00,1,In-flight meal not included,10577,1225
Jet Airways,2019-03-06,Banglore,New Delhi,07:00:00,19:10:00,1,No Info,16736,730
Jet Airways,2019-06-24,Delhi,Cochin,13:00:00,04:25:00,1,In-flight meal not included,10262,925
Multiple Carriers,2019-06-24,Delhi,Cochin,11:25:00,19:15:00,1,No Info,7155,470
Multiple Carriers,2019-03-03,Delhi,Cochin,10:20:00,01:35:00,1,No Info,15147,915
Indigo,2019-06-12,Banglore,New Delhi,07:10:00,10:05:00,0,No Info,4823,175
Air India,2019-03-15,Banglore,New Delhi,09:30:00,16:20:00,1,No Info,8714,410
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,09:45:00,1,No Info,10953,1450
Air India,2019-06-12,Kolkata,Banglore,20:30:00,20:25:00,1,No Info,10203,1435
Jet Airways,2019-05-18,Delhi,Cochin,13:00:00,12:35:00,1,In-flight meal not included,12373,1415
Jet Airways,2019-05-12,Kolkata,Banglore,09:35:00,23:35:00,1,No Info,14151,840
Jet Airways,2019-05-24,Kolkata,Banglore,09:35:00,14:25:00,1,No Info,12121,1730
Vistara,2019-04-09,Delhi,Cochin,06:00:00,09:10:00,0,No Info,5586,190
Jet Airways,2019-05-18,Kolkata,Banglore,08:25:00,12:00:00,1,In-flight meal not included,10844,1655
Jet Airways,2019-05-21,Kolkata,Banglore,21:10:00,04:40:00,1,In-flight meal not included,8586,450
Spicejet,2019-06-06,Delhi,Cochin,17:55:00,22:50:00,1,No Info,5409,295
Multiple Carriers,2019-03-21,Delhi,Cochin,09:45:00,21:20:00,2,No Info,7178,695
Multiple Carriers,2019-06-24,Delhi,Cochin,10:20:00,01:30:00,1,In-flight meal not included,5797,910
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,19:40:00,1,No Info,13759,1435
Air India,2019-05-24,Kolkata,Banglore,07:00:00,01:20:00,2,No Info,13873,1100
Jet Airways,2019-05-21,Delhi,Cochin,20:55:00,19:00:00,1,No Info,16079,1325
Spicejet,2019-06-27,Mumbai,Hyderabad,13:15:00,14:45:00,0,No Info,2017,90
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,18:15:00,1,In-flight meal not included,10844,1335
Spicejet,2019-04-24,Banglore,New Delhi,21:10:00,00:05:00,0,No check-in baggage included,3573,175
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,09:45:00,1,In-flight meal not included,8066,1450
Jet Airways,2019-03-09,Delhi,Cochin,20:50:00,18:50:00,1,In-flight meal not included,14053,1320
Jet Airways,2019-03-18,Banglore,New Delhi,08:00:00,15:15:00,1,No Info,12284,435
Spicejet,2019-04-09,Delhi,Cochin,06:05:00,11:20:00,1,No Info,5351,315
Jet Airways,2019-04-01,Kolkata,Banglore,16:30:00,16:20:00,1,In-flight meal not included,7064,1430
Indigo,2019-03-03,Delhi,Cochin,02:05:00,07:25:00,1,No Info,10394,320
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,09:20:00,1,In-flight meal not included,9663,865
Multiple Carriers,2019-05-18,Delhi,Cochin,17:30:00,01:30:00,1,No Info,13727,480
Jet Airways,2019-06-12,Delhi,Cochin,19:15:00,12:35:00,1,In-flight meal not included,10262,1040
Indigo,2019-04-09,Banglore,New Delhi,07:10:00,10:05:00,0,No Info,4823,175
Air Asia,2019-03-03,Banglore,New Delhi,05:50:00,08:40:00,0,No Info,7074,170
Multiple Carriers,2019-03-06,Delhi,Cochin,07:05:00,21:00:00,1,No Info,17267,835
Multiple Carriers,2019-05-21,Delhi,Cochin,15:00:00,01:30:00,1,No Info,14067,630
Indigo,2019-05-01,Banglore,New Delhi,08:30:00,11:20:00,0,No Info,4823,170
Indigo,2019-04-27,Banglore,New Delhi,20:00:00,22:50:00,0,No Info,4823,170
Air Asia,2019-05-12,Banglore,New Delhi,23:55:00,02:45:00,0,No Info,4483,170
Air India,2019-06-06,Kolkata,Banglore,09:50:00,23:15:00,2,No Info,14960,805
Air India,2019-06-01,Banglore,New Delhi,17:00:00,19:45:00,0,No Info,7171,165
Air India,2019-03-24,Kolkata,Banglore,20:30:00,08:55:00,1,No Info,12173,745
Air India,2019-03-03,Banglore,New Delhi,00:30:00,08:45:00,1,No Info,11392,495
Air India,2019-05-15,Kolkata,Banglore,10:00:00,13:45:00,2,No Info,16057,1665
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,10:55:00,1,No Info,14151,1075
Jet Airways,2019-05-21,Banglore,New Delhi,11:10:00,14:05:00,0,In-flight meal not included,4030,175
Indigo,2019-05-06,Kolkata,Banglore,19:35:00,23:15:00,1,No Info,4226,220
Air India,2019-03-09,Delhi,Cochin,04:00:00,19:15:00,1,No Info,11050,915
Air India,2019-05-21,Banglore,New Delhi,10:00:00,12:45:00,0,No Info,6961,165
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,09:15:00,1,No Info,14231,725
Jet Airways,2019-06-27,Delhi,Cochin,14:35:00,12:35:00,2,In-flight meal not included,10919,1320
Air India,2019-03-27,Delhi,Cochin,07:00:00,19:15:00,2,No Info,10913,735
Indigo,2019-06-27,Chennai,Kolkata,22:05:00,00:25:00,0,No Info,5277,140
Multiple Carriers,2019-05-21,Delhi,Cochin,10:20:00,21:00:00,1,No Info,7485,640
Jet Airways,2019-03-24,Kolkata,Banglore,16:55:00,16:20:00,1,No Info,14231,1405
Goair,2019-04-06,Delhi,Cochin,07:25:00,13:35:00,1,No Info,4201,370
Air India,2019-03-06,Delhi,Cochin,14:10:00,17:10:00,0,No Info,7931,180
Multiple Carriers,2019-05-15,Delhi,Cochin,14:55:00,22:30:00,1,No Info,6513,455
Jet Airways,2019-06-06,Delhi,Cochin,15:00:00,19:00:00,1,No Info,14714,1680
Indigo,2019-05-09,Kolkata,Banglore,18:05:00,23:30:00,1,No Info,6218,325
Air India,2019-06-27,Delhi,Cochin,12:00:00,19:15:00,2,No Info,8603,435
Indigo,2019-05-21,Delhi,Cochin,08:30:00,21:00:00,1,No Info,7318,750
Multiple Carriers,2019-06-15,Delhi,Cochin,10:00:00,19:00:00,1,No Info,13504,540
Multiple Carriers,2019-05-15,Delhi,Cochin,07:05:00,22:30:00,1,No Info,9646,925
Indigo,2019-05-27,Kolkata,Banglore,11:30:00,14:05:00,0,No Info,5224,155
Jet Airways,2019-06-12,Kolkata,Banglore,09:35:00,18:00:00,1,No Info,12692,505
Jet Airways,2019-06-06,Kolkata,Banglore,10:20:00,17:35:00,1,In-flight meal not included,9689,435
Air India,2019-05-09,Kolkata,Banglore,10:00:00,01:20:00,2,No Info,13033,920
Jet Airways,2019-06-12,Kolkata,Banglore,06:30:00,16:20:00,1,No Info,13626,590
Indigo,2019-05-18,Mumbai,Hyderabad,19:05:00,20:35:00,0,No Info,2754,90
Jet Airways,2019-05-09,Kolkata,Banglore,17:00:00,09:45:00,1,No Info,12121,1005
Indigo,2019-04-24,Banglore,New Delhi,01:30:00,04:15:00,0,No Info,3419,165
Air India,2019-05-21,Kolkata,Banglore,10:00:00,01:20:00,2,No Info,13033,920
Indigo,2019-04-06,Kolkata,Banglore,04:40:00,07:15:00,0,No Info,4174,155
Air Asia,2019-06-27,Delhi,Cochin,07:55:00,22:25:00,1,No Info,6152,870
Air India,2019-06-27,Delhi,Cochin,05:10:00,08:00:00,0,No Info,5201,170
Jet Airways,2019-03-15,Banglore,New Delhi,07:00:00,16:10:00,1,In-flight meal not included,9134,550
Air India,2019-05-18,Kolkata,Banglore,07:00:00,01:20:00,2,No Info,13243,1100
Jet Airways,2019-05-27,Delhi,Cochin,05:30:00,04:25:00,2,No Info,15129,1375
Jet Airways,2019-05-09,Mumbai,Hyderabad,19:35:00,21:05:00,0,In-flight meal not included,2759,90
Indigo,2019-05-15,Banglore,New Delhi,06:05:00,08:50:00,0,No Info,4423,165
Vistara,2019-05-18,Kolkata,Banglore,07:10:00,22:40:00,1,No Info,9187,930
Multiple Carriers,2019-05-18,Delhi,Cochin,07:10:00,22:30:00,1,No Info,7740,920
Jet Airways,2019-05-24,Banglore,New Delhi,19:50:00,22:50:00,0,In-flight meal not included,6144,180
Multiple Carriers,2019-06-09,Delhi,Cochin,04:55:00,12:35:00,1,No Info,10877,460
Indigo,2019-06-15,Delhi,Cochin,11:55:00,22:30:00,1,No Info,6442,635
Indigo,2019-03-27,Delhi,Cochin,04:45:00,15:30:00,1,No Info,7048,645
Multiple Carriers,2019-06-27,Delhi,Cochin,15:15:00,01:30:00,1,In-flight meal not included,5797,615
Air India,2019-03-03,Banglore,New Delhi,06:45:00,23:55:00,2,No Info,10573,1030
Indigo,2019-05-15,Delhi,Cochin,08:30:00,21:00:00,1,No Info,7503,750
Indigo,2019-06-12,Delhi,Cochin,17:30:00,01:30:00,1,No Info,6104,480
Jet Airways,2019-05-09,Kolkata,Banglore,21:10:00,08:15:00,1,In-flight meal not included,9663,665
Jet Airways,2019-06-03,Banglore,New Delhi,11:10:00,14:05:00,0,In-flight meal not included,5769,175
Air India,2019-06-15,Mumbai,Hyderabad,13:55:00,15:25:00,0,No Info,3100,90
Jet Airways,2019-05-18,Delhi,Cochin,17:30:00,04:25:00,1,In-flight meal not included,12373,655
Spicejet,2019-03-15,Kolkata,Banglore,09:00:00,11:30:00,0,No check-in baggage included,3815,150
Jet Airways,2019-06-15,Delhi,Cochin,12:15:00,12:35:00,2,No Info,14300,1460
Indigo,2019-06-01,Banglore,New Delhi,07:10:00,10:05:00,0,No Info,4823,175
Indigo,2019-06-18,Mumbai,Hyderabad,19:05:00,20:35:00,0,No Info,2754,90
Multiple Carriers,2019-06-03,Delhi,Cochin,06:00:00,19:15:00,1,No Info,9736,795
Jet Airways,2019-03-21,Banglore,New Delhi,09:45:00,14:25:00,1,In-flight meal not included,7280,280
Multiple Carriers,2019-06-09,Delhi,Cochin,08:00:00,21:00:00,1,No Info,7408,780
Jet Airways,2019-06-12,Kolkata,Banglore,20:00:00,12:00:00,1,No Info,13044,960
Air India,2019-05-24,Kolkata,Banglore,05:50:00,23:15:00,2,No Info,12723,1045
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,04:40:00,1,In-flight meal not included,8586,730
Indigo,2019-06-12,Delhi,Cochin,16:00:00,01:30:00,1,No Info,6316,570
Jet Airways,2019-05-09,Delhi,Cochin,09:00:00,19:00:00,1,No Info,15554,600
Spicejet,2019-03-15,Mumbai,Hyderabad,13:10:00,14:30:00,0,No check-in baggage included,2385,80
Multiple Carriers,2019-06-09,Delhi,Cochin,13:00:00,21:00:00,1,No Info,13587,480
Indigo,2019-03-03,Delhi,Cochin,02:35:00,08:30:00,1,No Info,13790,355
Air India,2019-05-15,Delhi,Cochin,09:45:00,09:25:00,2,No Info,10975,1420
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,09:20:00,1,No Info,14388,1495
Multiple Carriers,2019-06-06,Delhi,Cochin,18:00:00,01:30:00,1,No Info,7198,450
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,12:35:00,2,In-flight meal not included,13029,1615
Multiple Carriers,2019-05-27,Delhi,Cochin,07:05:00,19:15:00,1,In-flight meal not included,12717,730
Indigo,2019-03-03,Delhi,Cochin,06:40:00,13:20:00,1,No Info,14871,400
Jet Airways,2019-06-06,Kolkata,Banglore,06:30:00,20:50:00,2,In-flight meal not included,10118,860
Jet Airways,2019-06-06,Delhi,Cochin,22:50:00,04:25:00,1,In-flight meal not included,10262,335
Jet Airways,2019-03-24,Mumbai,Hyderabad,02:55:00,04:25:00,0,In-flight meal not included,2071,90
Air India,2019-04-27,Banglore,New Delhi,21:05:00,23:55:00,0,No Info,5228,170
Jet Airways,2019-03-21,Banglore,New Delhi,16:55:00,11:25:00,1,In-flight meal not included,7832,1110
Multiple Carriers,2019-06-06,Delhi,Cochin,11:40:00,21:00:00,1,No Info,7005,560
Jet Airways,2019-06-09,Delhi,Cochin,18:25:00,12:35:00,2,No Info,14237,1090
Spicejet,2019-04-06,Banglore,New Delhi,21:10:00,00:05:00,0,No Info,3971,175
Indigo,2019-06-21,Banglore,New Delhi,22:10:00,01:00:00,0,No Info,3943,170
Indigo,2019-03-27,Delhi,Cochin,06:40:00,15:30:00,1,No Info,8574,530
Air India,2019-06-15,Delhi,Cochin,05:55:00,19:15:00,2,No Info,12646,800
Jet Airways,2019-03-21,Delhi,Cochin,13:00:00,18:50:00,2,No Info,13082,1790
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,08:15:00,1,No Info,13941,1430
Goair,2019-04-06,Delhi,Cochin,07:00:00,12:55:00,1,No Info,5135,355
Air India,2019-05-21,Kolkata,Banglore,10:00:00,20:25:00,1,No Info,11096,625
Jet Airways,2019-03-18,Banglore,New Delhi,22:50:00,09:30:00,1,No Info,13555,640
Vistara,2019-04-12,Banglore,New Delhi,09:45:00,12:35:00,0,No Info,5403,170
Jet Airways,2019-06-24,Delhi,Cochin,11:40:00,19:00:00,2,In-flight meal not included,15812,440
Jet Airways,2019-05-21,Kolkata,Banglore,20:00:00,08:15:00,1,No Info,14781,735
Air India,2019-06-06,Delhi,Cochin,13:30:00,23:00:00,1,No Info,8907,570
Air India,2019-05-03,Kolkata,Banglore,20:45:00,23:20:00,0,No Info,4145,155
Jet Airways,2019-06-09,Kolkata,Banglore,20:25:00,09:45:00,1,No Info,14151,800
Multiple Carriers,2019-03-27,Delhi,Cochin,06:00:00,15:30:00,1,No Info,7845,570
Multiple Carriers,2019-05-15,Delhi,Cochin,09:15:00,19:15:00,1,No Info,8099,600
Multiple Carriers,2019-05-27,Delhi,Cochin,15:00:00,01:30:00,1,No Info,13377,630
Air India,2019-03-12,Banglore,New Delhi,06:50:00,11:20:00,2,No Info,12734,1710
Jet Airways,2019-06-03,Delhi,Cochin,22:50:00,04:25:00,1,In-flight meal not included,10262,335
Jet Airways,2019-05-15,Banglore,New Delhi,18:55:00,22:00:00,0,No Info,7229,185
Vistara,2019-03-06,Mumbai,Hyderabad,08:45:00,09:25:00,1,No Info,12395,1480
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,09:15:00,1,In-flight meal not included,11134,810
Jet Airways,2019-03-21,Delhi,Cochin,13:00:00,18:50:00,1,In-flight meal not included,6540,350
Multiple Carriers,2019-06-06,Delhi,Cochin,06:40:00,19:15:00,1,No Info,7354,755
Air India,2019-06-24,Delhi,Cochin,12:00:00,07:40:00,2,No Info,9548,1180
Vistara,2019-05-01,Kolkata,Banglore,07:10:00,10:45:00,1,No Info,9187,1655
Indigo,2019-05-09,Delhi,Cochin,07:35:00,12:10:00,1,No Info,5054,275
Air India,2019-06-09,Kolkata,Banglore,10:00:00,20:25:00,1,No Info,10413,625
Indigo,2019-05-27,Kolkata,Banglore,21:25:00,00:05:00,0,No Info,4804,160
Indigo,2019-06-15,Mumbai,Hyderabad,06:25:00,07:55:00,0,No Info,4049,90
Multiple Carriers,2019-06-27,Delhi,Cochin,19:00:00,01:30:00,1,No Info,6795,390
Air India,2019-03-21,Kolkata,Banglore,20:45:00,23:20:00,0,No Info,4435,155
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,04:40:00,1,In-flight meal not included,6224,730
Indigo,2019-06-12,Kolkata,Banglore,20:20:00,22:55:00,0,No Info,4804,155
Indigo,2019-04-15,Delhi,Cochin,05:05:00,16:10:00,1,No Info,6171,665
Indigo,2019-06-03,Delhi,Cochin,11:25:00,21:00:00,1,No Info,6093,575
Indigo,2019-04-12,Kolkata,Banglore,17:15:00,19:50:00,0,No Info,4174,155
Indigo,2019-05-06,Mumbai,Hyderabad,02:35:00,04:05:00,0,No Info,3342,90
Multiple Carriers,2019-06-03,Delhi,Cochin,10:00:00,21:00:00,1,No Info,13587,660
Jet Airways,2019-05-21,Delhi,Cochin,21:50:00,04:25:00,1,No Info,16079,395
Indigo,2019-04-18,Delhi,Cochin,05:35:00,08:50:00,0,No Info,6015,195
Jet Airways,2019-05-24,Kolkata,Banglore,17:00:00,19:10:00,1,No Info,13067,1570
Multiple Carriers,2019-05-15,Delhi,Cochin,04:55:00,12:35:00,1,No Info,9103,460
Jet Airways,2019-05-24,Kolkata,Banglore,20:25:00,23:35:00,1,No Info,14151,1630
Jet Airways,2019-03-27,Delhi,Cochin,06:20:00,18:50:00,2,No Info,11538,750
Indigo,2019-03-09,Delhi,Cochin,08:35:00,21:20:00,2,No Info,8146,765
Air India,2019-05-06,Kolkata,Banglore,19:00:00,04:40:00,1,No Info,6117,580
Jet Airways,2019-03-03,Delhi,Cochin,02:15:00,04:25:00,1,No Info,17024,1570
Jet Airways,2019-03-01,Banglore,New Delhi,14:05:00,07:40:00,1,1 Long layover,22270,1055
Jet Airways,2019-06-09,Kolkata,Banglore,20:25:00,21:05:00,1,No Info,12692,1480
Vistara,2019-06-12,Kolkata,Banglore,07:10:00,20:20:00,1,No Info,8610,790
Multiple Carriers,2019-06-24,Delhi,Cochin,07:10:00,22:30:00,1,No Info,6723,920
Vistara,2019-05-12,Banglore,New Delhi,17:00:00,19:35:00,0,No Info,4878,155
Jet Airways,2019-03-06,Banglore,New Delhi,20:35:00,07:40:00,1,No Info,16736,665
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,09:15:00,1,In-flight meal not included,11134,1160
Indigo,2019-05-03,Banglore,New Delhi,04:00:00,06:50:00,0,No Info,3943,170
Multiple Carriers,2019-06-12,Delhi,Cochin,09:00:00,21:00:00,1,No Info,13587,720
Jet Airways,2019-03-06,Delhi,Cochin,05:25:00,04:25:00,2,No Info,16914,1380
Spicejet,2019-05-18,Mumbai,Hyderabad,22:45:00,00:15:00,0,No check-in baggage included,1965,90
Multiple Carriers,2019-05-09,Delhi,Cochin,13:00:00,21:00:00,1,No Info,8073,480
Indigo,2019-06-03,Banglore,New Delhi,13:00:00,15:50:00,0,No Info,3943,170
Indigo,2019-05-12,Kolkata,Banglore,15:15:00,20:05:00,1,No Info,5170,290
Goair,2019-05-15,Banglore,New Delhi,11:40:00,14:30:00,0,No Info,3398,170
Air Asia,2019-04-18,Kolkata,Banglore,10:20:00,12:55:00,0,No Info,4409,155
Jet Airways,2019-06-21,Banglore,New Delhi,17:45:00,20:45:00,0,No Info,8541,180
Indigo,2019-03-21,Banglore,New Delhi,04:00:00,06:50:00,0,No Info,4777,170
Spicejet,2019-03-18,Kolkata,Banglore,22:20:00,00:40:00,0,No Info,3847,140
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,12:00:00,1,In-flight meal not included,7064,1025
Vistara,2019-05-27,Banglore,New Delhi,21:00:00,23:50:00,0,No Info,4668,170
Spicejet,2019-03-18,Mumbai,Hyderabad,22:45:00,00:10:00,0,No check-in baggage included,1965,85
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,16:20:00,1,No Info,14781,590
Indigo,2019-06-15,Mumbai,Hyderabad,09:10:00,10:40:00,0,No Info,4049,90
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,08:15:00,1,No Info,13584,800
Jet Airways,2019-05-18,Delhi,Cochin,20:55:00,12:35:00,1,In-flight meal not included,12373,940
Jet Airways,2019-05-27,Delhi,Cochin,16:00:00,19:00:00,1,No Info,16079,1620
Jet Airways,2019-05-24,Banglore,New Delhi,08:20:00,11:20:00,0,No Info,7229,180
Jet Airways,2019-03-06,Banglore,New Delhi,21:25:00,21:20:00,1,No Info,17471,1435
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,16:20:00,1,No Info,14781,590
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,19:50:00,1,No Info,14571,800
Multiple Carriers,2019-05-18,Delhi,Cochin,03:50:00,12:35:00,1,No Info,10197,525
Spicejet,2019-06-01,Delhi,Cochin,17:55:00,22:50:00,1,No Info,5975,295
Multiple Carriers,2019-04-09,Delhi,Cochin,17:45:00,01:30:00,1,No Info,8535,465
Multiple Carriers,2019-03-27,Delhi,Cochin,09:55:00,21:00:00,1,No Info,12537,665
Air India,2019-05-24,Kolkata,Banglore,20:45:00,23:20:00,0,No Info,4145,155
Indigo,2019-03-15,Mumbai,Hyderabad,09:10:00,10:40:00,0,No Info,4049,90
Air Asia,2019-05-09,Kolkata,Banglore,22:40:00,10:40:00,1,No Info,5192,720
Air India,2019-05-09,Banglore,New Delhi,21:05:00,23:55:00,0,No Info,6121,170
Air India,2019-06-24,Delhi,Cochin,03:50:00,19:15:00,1,No Info,8669,925
Multiple Carriers,2019-05-18,Delhi,Cochin,06:00:00,19:15:00,1,No Info,8476,795
Spicejet,2019-06-21,Mumbai,Hyderabad,05:45:00,07:15:00,0,No check-in baggage included,2647,90
Jet Airways,2019-06-06,Delhi,Cochin,20:55:00,19:00:00,1,No Info,14714,1325
Air India,2019-03-06,Delhi,Cochin,20:30:00,08:15:00,1,No Info,10566,705
Jet Airways,2019-06-15,Delhi,Cochin,11:30:00,19:00:00,1,In-flight meal not included,10262,450
Multiple Carriers,2019-03-21,Delhi,Cochin,10:00:00,01:35:00,1,No Info,8098,935
Multiple Carriers,2019-03-27,Delhi,Cochin,10:00:00,21:00:00,1,No Info,6883,660
Multiple Carriers,2019-06-15,Delhi,Cochin,10:00:00,19:15:00,1,No Info,16108,555
Spicejet,2019-03-18,Kolkata,Banglore,17:15:00,19:45:00,0,No check-in baggage included,4413,150
Jet Airways,2019-06-01,Delhi,Cochin,14:35:00,12:35:00,2,In-flight meal not included,10919,1320
Indigo,2019-05-09,Kolkata,Banglore,21:25:00,00:05:00,0,No Info,4804,160
